workerid,trial_type,modifier2,noun,modifier1,stimulus,train,modifier,response
1,num_det,these,couches,eight,these eight couches,False,NA,couches eight these
1,det,NA,spatula,this,this spatula,False,NA,spatula this
1,num_det,that,shovel,one,that one shovel,False,NA,shovel one that
1,num_det,these,vases,three,these three vases,False,NA,vases three these
1,num,NA,horses,six,six horses,False,NA,horses six
1,num_det,those,keys,two,those two keys,False,NA,keys two those
1,det,NA,hats,those,those hats,False,NA,hats those
1,num,NA,cow,one,one cow,False,NA,cow one
1,num_det,that,horse,one,that one horse,False,NA,horse one that
1,det,NA,horse,that,that horse,False,NA,horse that
1,num_det,those,pears,four,those four pears,False,NA,pears four those
1,det,NA,pillows,these,these pillows,False,NA,pillows these
1,num_det,those,handbags,eight,those eight handbags,False,NA,handbags eight those
1,det,NA,duck,this,this duck,False,NA,duck this
1,num_det,these,pigs,four,these four pigs,False,NA,pigs four these
1,num_det,those,shoes,seven,those seven shoes,False,NA,shoes seven those
1,det,NA,banana,this,this banana,False,NA,banana this
1,num,NA,shovels,seven,seven shovels,False,NA,shovels seven
1,det,NA,pitchers,these,these pitchers,False,NA,pitchers these
1,num_det,those,pineapples,four,those four pineapples,False,NA,pineapples four those
1,num_det,those,chairs,seven,those seven chairs,False,NA,chairs seven those
1,num_det,those,spatulas,nine,those nine spatulas,False,NA,spatulas nine those
1,num_det,those,pitchers,nine,those nine pitchers,False,NA,pitchers nine those
1,num,NA,scarfs,ten,ten scarfs,False,NA,scarfs ten
2,det,NA,chairs,NA,those chairs,NA,those,chairs those
2,num,NA,lamps,NA,three lamps,NA,three,lamps three
2,det,NA,cherry,NA,that cherry,NA,that,cherry that
2,num,NA,ducks,NA,four ducks,NA,four,ducks four
2,num,NA,vases,NA,nine vases,NA,nine,vases nine
2,num,NA,pillow,NA,one pillow,NA,one,pillow one
2,det,NA,leaves,NA,these leaves,NA,these,leaves these
2,num,NA,box,NA,one box,NA,one,box one
2,num,NA,spatulas,NA,six spatulas,NA,six,spatulas six
2,det,NA,pig,NA,this pig,NA,this,pig this
2,det,NA,scarfs,NA,these scarfs,NA,these,scarfs these
2,num,NA,bowls,NA,eight bowls,NA,eight,bowls eight
2,num,NA,handbags,NA,ten handbags,NA,ten,handbags ten
2,det,NA,keys,NA,those keys,NA,those,keys those
2,num,NA,ribbon,NA,one ribbon,NA,one,ribbon one
2,det,NA,shoes,NA,those shoes,NA,those,shoes those
2,det,NA,pineapple,NA,that pineapple,NA,that,pineapple that
2,num,NA,cherries,NA,nine cherries,NA,nine,cherries nine
2,det,NA,ribbons,NA,those ribbons,NA,those,ribbons those
2,det,NA,pitcher,NA,this pitcher,NA,this,pitcher this
2,num,NA,keys,NA,seven keys,NA,seven,keys seven
2,det,NA,horse,NA,that horse,NA,that,horse that
2,num,NA,leaves,NA,nine leaves,NA,nine,leaves nine
2,det,NA,suitcase,NA,this suitcase,NA,this,suitcase this
2,det,NA,couch,NA,that couch,NA,that,couch that
2,det,NA,cow,NA,that cow,NA,that,cow that
2,det,NA,pears,NA,those pears,NA,those,pears those
2,num,NA,darts,NA,six darts,NA,six,darts six
2,num,NA,shoes,NA,two shoes,NA,two,shoes two
2,num,NA,couches,NA,two couches,NA,two,couches two
2,num_det,those,pitchers,nine,those nine pitchers,False,NA,pitchers those nine
2,num,NA,shirts,four,four shirts,False,NA,shirts four
2,num_det,those,couches,two,those two couches,False,NA,two those couches
2,num_det,these,cars,three,these three cars,False,NA,cars these three
2,num_det,those,horses,nine,those nine horses,False,NA,horses nine those
2,num_det,these,pears,three,these three pears,False,NA,pears these three
2,num,NA,scarfs,ten,ten scarfs,False,NA,scarfs ten
2,det,NA,leaf,this,this leaf,False,NA,leaf this
2,num_det,those,shoes,two,those two shoes,False,NA,shoes those two
2,num_det,those,handbags,three,those three handbags,False,NA,handbags three those
2,num_det,this,pig,one,this one pig,False,NA,pig this one
2,num_det,those,leaves,eight,those eight leaves,False,NA,leaves eight those
2,num,NA,hats,three,three hats,False,NA,hats three
2,num,NA,trays,five,five trays,False,NA,trays five
2,det,NA,ribbon,this,this ribbon,False,NA,ribbon this
2,det,NA,box,that,that box,False,NA,box that
2,num_det,those,spatulas,three,those three spatulas,False,NA,spatulas those three
2,num_det,these,darts,nine,these nine darts,False,NA,darts these nine
2,num_det,those,boxes,two,those two boxes,False,NA,boxes two those
2,num,NA,spatulas,two,two spatulas,False,NA,spatulas two
2,det,NA,darts,these,these darts,False,NA,darts these
2,num_det,these,chairs,three,these three chairs,False,NA,chairs three these
2,det,NA,key,that,that key,False,NA,key that
2,num_det,these,hats,seven,these seven hats,False,NA,hats seven these
2,num,NA,keys,seven,seven keys,False,NA,keys seven
2,num_det,these,ribbons,four,these four ribbons,False,NA,ribbons four these
2,num_det,those,trays,two,those two trays,False,NA,trays those two
2,det,NA,pillows,those,those pillows,False,NA,pillows those
2,num_det,this,pineapple,one,this one pineapple,False,NA,pineapple this one
2,num_det,these,pillows,eight,these eight pillows,False,NA,pillows eight these
2,num_det,these,shovels,nine,these nine shovels,False,NA,shovels these nine
2,num_det,these,cows,nine,these nine cows,False,NA,cows nine these
2,num_det,those,lamps,seven,those seven lamps,False,NA,lamps seven those
2,num,NA,leaves,ten,ten leaves,False,NA,leaves ten
2,num,NA,bananas,two,two bananas,False,NA,bananas two
2,det,NA,cars,these,these cars,False,NA,cars these
2,num_det,these,cherries,three,these three cherries,False,NA,cherries three these
2,num_det,these,suitcases,six,these six suitcases,False,NA,suitcases six these
2,det,NA,shirt,that,that shirt,False,NA,shirt that
2,num_det,those,ducks,seven,those seven ducks,False,NA,ducks seven those
2,num_det,these,vases,two,these two vases,False,NA,vases these two
2,num_det,these,shirts,nine,these nine shirts,False,NA,shirts these nine
2,num,NA,suitcase,one,one suitcase,False,NA,suitcase one
2,num_det,those,scarfs,five,those five scarfs,False,NA,scarfs five those
2,num_det,those,bowls,five,those five bowls,False,NA,bowls five those
2,num_det,these,bananas,six,these six bananas,False,NA,bananas six these
2,num,NA,chairs,four,four chairs,False,NA,chairs four
2,det,NA,trays,these,these trays,False,NA,trays these
2,num_det,these,keys,two,these two keys,False,NA,keys two these
2,det,NA,pitcher,that,that pitcher,False,NA,pitcher that
3,det,NA,car,NA,this car,NA,this,car this
3,num,NA,shoes,NA,ten shoes,NA,ten,shoes ten
3,num,NA,cow,NA,one cow,NA,one,cow one
3,num,NA,cars,NA,two cars,NA,two,cars two
3,num,NA,bowls,NA,eight bowls,NA,eight,bowls eight
3,det,NA,couches,NA,those couches,NA,those,couches those
3,det,NA,cows,NA,these cows,NA,these,cows these
3,num,NA,pineapples,NA,five pineapples,NA,five,pineapples five
3,num,NA,lamps,NA,eight lamps,NA,eight,lamps eight
3,num,NA,pillows,NA,ten pillows,NA,ten,pillows ten
3,det,NA,chair,NA,this chair,NA,this,chair this
3,det,NA,pigs,NA,these pigs,NA,these,pigs these
3,det,NA,scarf,NA,this scarf,NA,this,scarf this
3,det,NA,keys,NA,these keys,NA,these,keys these
3,det,NA,hats,NA,those hats,NA,those,hats those
3,det,NA,pillows,NA,those pillows,NA,those,pillows those
3,det,NA,banana,NA,this banana,NA,this,banana this
3,num,NA,couches,NA,five couches,NA,five,couches five
3,num,NA,boxes,NA,four boxes,NA,four,boxes four
3,num,NA,handbags,NA,two handbags,NA,two,handbags two
3,num,NA,ducks,NA,two ducks,NA,two,ducks two
3,det,NA,shirts,NA,these shirts,NA,these,shirts these
3,det,NA,spatulas,NA,these spatulas,NA,these,spatulas these
3,det,NA,handbag,NA,this handbag,NA,this,handbag this
3,num,NA,tray,NA,one tray,NA,one,tray one
3,num,NA,ribbons,NA,two ribbons,NA,two,ribbons two
3,det,NA,bowl,NA,this bowl,NA,this,bowl this
3,num,NA,horse,NA,one horse,NA,one,horse one
3,num,NA,hats,NA,nine hats,NA,nine,hats nine
3,det,NA,shovels,NA,these shovels,NA,these,shovels these
3,det,NA,hat,that,that hat,False,NA,hat that
3,num_det,these,bowls,seven,these seven bowls,False,NA,bowls seven these
3,num_det,those,suitcases,four,those four suitcases,False,NA,suitcases those four
3,num,NA,handbags,eight,eight handbags,False,NA,handbags eight
3,num_det,these,ducks,five,these five ducks,False,NA,ducks these five
3,num_det,this,cow,one,this one cow,False,NA,cow this one
3,num,NA,spatulas,six,six spatulas,False,NA,spatulas six
3,num_det,those,shovels,two,those two shovels,False,NA,shovels two those
3,num_det,those,pears,eight,those eight pears,False,NA,pears eight those
3,num_det,those,spatulas,seven,those seven spatulas,False,NA,spatulas seven those
3,num_det,these,pillows,four,these four pillows,False,NA,pillows four these
3,det,NA,pig,that,that pig,False,NA,pig that
3,det,NA,cow,that,that cow,False,NA,cow that
3,det,NA,tray,this,this tray,False,NA,tray this
3,det,NA,suitcase,this,this suitcase,False,NA,suitcase this
3,num_det,this,shoe,one,this one shoe,False,NA,shoe one this
3,num_det,those,vases,five,those five vases,False,NA,vases five those
3,num_det,those,ribbons,three,those three ribbons,False,NA,ribbons those three
3,num_det,these,handbags,seven,these seven handbags,False,NA,handbags seven these
3,num_det,those,bananas,ten,those ten bananas,False,NA,bananas ten those
3,num_det,these,leaves,five,these five leaves,False,NA,leaves five these
3,num,NA,key,one,one key,False,NA,key one
3,num_det,these,pigs,ten,these ten pigs,False,NA,pigs ten these
3,num_det,these,lamps,ten,these ten lamps,False,NA,lamps ten these
3,num,NA,dart,one,one dart,False,NA,dart one
3,num_det,those,trays,three,those three trays,False,NA,trays three those
3,det,NA,ducks,those,those ducks,False,NA,ducks those
3,num,NA,ribbons,four,four ribbons,False,NA,ribbons four
3,num_det,that,key,one,that one key,False,NA,one that key
3,num,NA,shovels,seven,seven shovels,False,NA,shovels seven
3,num,NA,pigs,ten,ten pigs,False,NA,pigs ten
3,num_det,these,boxes,three,these three boxes,False,NA,boxes three these
3,num_det,this,car,one,this one car,False,NA,car one this
3,num_det,those,darts,five,those five darts,False,NA,darts five those
3,num,NA,trays,eight,eight trays,False,NA,trays eight
3,det,NA,shovel,this,this shovel,False,NA,shovel this
3,num_det,these,hats,five,these five hats,False,NA,hats five these
3,num_det,these,horses,six,these six horses,False,NA,horses six these
3,num,NA,pitchers,ten,ten pitchers,False,NA,pitchers ten
3,num_det,these,pineapples,four,these four pineapples,False,NA,pineapples these four
3,num_det,those,couches,two,those two couches,False,NA,couches those two
3,det,NA,pillow,this,this pillow,False,NA,pillow this
3,num_det,these,scarfs,two,these two scarfs,False,NA,two these scarfs
3,num,NA,bowl,one,one bowl,False,NA,bowl one
3,num_det,those,cherries,five,those five cherries,False,NA,cherries those five
3,det,NA,vases,these,these vases,False,NA,vases these
3,num_det,those,shirts,nine,those nine shirts,False,NA,shirts nine those
3,num_det,these,chairs,nine,these nine chairs,False,NA,nine these chairs
3,det,NA,handbags,these,these handbags,False,NA,handbags these
3,num_det,those,pitchers,ten,those ten pitchers,False,NA,pitchers those ten
4,num,NA,vases,NA,eight vases,NA,eight,vases eight
4,det,NA,tray,NA,this tray,NA,this,tray this
4,num,NA,shovels,NA,seven shovels,NA,seven,shovels seven
4,det,NA,shirts,NA,these shirts,NA,these,shirts these
4,num,NA,pineapples,NA,ten pineapples,NA,ten,pineapples ten
4,num,NA,pillows,NA,eight pillows,NA,eight,pillows eight
4,num,NA,horse,NA,one horse,NA,one,horse one
4,num,NA,shirts,NA,seven shirts,NA,seven,shirts seven
4,det,NA,scarfs,NA,these scarfs,NA,these,scarfs these
4,det,NA,cherries,NA,these cherries,NA,these,cherries these
4,det,NA,bowl,NA,that bowl,NA,that,bowl that
4,det,NA,handbags,NA,those handbags,NA,those,handbags those
4,det,NA,dart,NA,that dart,NA,that,dart that
4,num,NA,leaves,NA,seven leaves,NA,seven,leaves seven
4,det,NA,pigs,NA,those pigs,NA,those,pigs those
4,num,NA,scarf,NA,one scarf,NA,one,scarf one
4,num,NA,chairs,NA,five chairs,NA,five,chairs five
4,num,NA,pigs,NA,six pigs,NA,six,pigs six
4,det,NA,box,NA,that box,NA,that,box that
4,det,NA,vases,NA,those vases,NA,those,vases those
4,num,NA,pears,NA,two pears,NA,two,pears two
4,num,NA,ribbons,NA,eight ribbons,NA,eight,ribbons eight
4,num,NA,bananas,NA,seven bananas,NA,seven,bananas seven
4,num,NA,darts,NA,nine darts,NA,nine,darts nine
4,det,NA,leaf,NA,this leaf,NA,this,leaf this
4,num,NA,hats,NA,five hats,NA,five,hats five
4,det,NA,hats,NA,those hats,NA,those,hats those
4,det,NA,suitcases,NA,those suitcases,NA,those,suitcases those
4,det,NA,pillow,NA,that pillow,NA,that,pillow that
4,det,NA,pears,NA,those pears,NA,those,pears those
4,num_det,these,horses,ten,these ten horses,False,NA,horses ten these
4,num_det,that,shovel,one,that one shovel,False,NA,shovel one that
4,num_det,these,leaves,four,these four leaves,False,NA,leaves four these
4,num_det,those,lamps,five,those five lamps,False,NA,lamps five those
4,num_det,these,pigs,four,these four pigs,False,NA,pigs four these
4,det,NA,suitcase,this,this suitcase,False,NA,suitcase this
4,num_det,those,pillows,two,those two pillows,False,NA,pillows two those
4,num_det,these,scarfs,seven,these seven scarfs,False,NA,scarfs seven these
4,num_det,these,bananas,nine,these nine bananas,False,NA,bananas nine these
4,num_det,those,pitchers,four,those four pitchers,False,NA,pitchers four those
4,num,NA,horses,four,four horses,False,NA,horses four
4,num_det,those,darts,six,those six darts,False,NA,darts six those
4,det,NA,ribbons,those,those ribbons,False,NA,ribbons those
4,det,NA,car,this,this car,False,NA,car this
4,num_det,these,cars,three,these three cars,False,NA,cars three these
4,det,NA,shovel,this,this shovel,False,NA,shovel this
4,num_det,these,couches,seven,these seven couches,False,NA,couches seven these
4,num_det,these,keys,eight,these eight keys,False,NA,keys eight these
4,num,NA,pears,nine,nine pears,False,NA,pears nine
4,num_det,these,boxes,eight,these eight boxes,False,NA,boxes eight these
4,num_det,these,chairs,ten,these ten chairs,False,NA,chairs ten these
4,num_det,those,pineapples,four,those four pineapples,False,NA,pineapples four those
4,num_det,these,pears,three,these three pears,False,NA,pears three these
4,det,NA,spatula,that,that spatula,False,NA,spatula that
4,num,NA,trays,five,five trays,False,NA,trays five
4,num_det,these,handbags,five,these five handbags,False,NA,handbags five these
4,num_det,those,trays,eight,those eight trays,False,NA,trays eight those
4,num_det,these,shoes,four,these four shoes,False,NA,shoes four these
4,num,NA,scarfs,four,four scarfs,False,NA,scarfs four
4,num,NA,key,one,one key,False,NA,key one
4,num_det,those,ribbons,nine,those nine ribbons,False,NA,ribbons nine those
4,det,NA,duck,that,that duck,False,NA,duck that
4,num_det,this,vase,one,this one vase,False,NA,vase one this
4,num_det,this,shirt,one,this one shirt,False,NA,shirt one this
4,num,NA,bananas,nine,nine bananas,False,NA,bananas nine
4,det,NA,key,that,that key,False,NA,key that
4,num,NA,couch,one,one couch,False,NA,couch one
4,num_det,those,hats,eight,those eight hats,False,NA,hats eight those
4,det,NA,shirts,these,these shirts,False,NA,shirts these
4,num_det,that,bowl,one,that one bowl,False,NA,bowl one that
4,num,NA,suitcases,ten,ten suitcases,False,NA,suitcases ten
4,num_det,those,ducks,two,those two ducks,False,NA,ducks two those
4,det,NA,hat,that,that hat,False,NA,hat that
4,num_det,these,suitcases,six,these six suitcases,False,NA,suitcases six these
4,num_det,these,cherries,ten,these ten cherries,False,NA,cherries ten these
4,num_det,those,spatulas,nine,those nine spatulas,False,NA,spatulas nine those
4,num,NA,cherries,ten,ten cherries,False,NA,cherries ten
4,num,NA,shoe,one,one shoe,False,NA,shoe one
4,det,NA,cherries,those,those cherries,False,NA,cherries those
4,num_det,these,cows,five,these five cows,False,NA,cows five these
5,det,NA,vases,NA,these vases,NA,these,vases these
5,num,NA,leaves,NA,two leaves,NA,two,leaves two
5,det,NA,suitcases,NA,these suitcases,NA,these,suitcases these
5,det,NA,lamps,NA,those lamps,NA,those,lamps those
5,num,NA,suitcases,NA,five suitcases,NA,five,suitcases five
5,det,NA,pillow,NA,this pillow,NA,this,pillow this
5,det,NA,chairs,NA,these chairs,NA,these,chairs these
5,num,NA,lamps,NA,ten lamps,NA,ten,lamps ten
5,num,NA,shovels,NA,ten shovels,NA,ten,shovels ten
5,num,NA,cherries,NA,four cherries,NA,four,cherries four
5,num,NA,cars,NA,five cars,NA,five,cars five
5,num,NA,handbags,NA,nine handbags,NA,nine,handbags nine
5,det,NA,spatula,NA,this spatula,NA,this,spatula this
5,det,NA,bowl,NA,this bowl,NA,this,bowl this
5,num,NA,pitchers,NA,four pitchers,NA,four,pitchers four
5,det,NA,horses,NA,those horses,NA,those,horses those
5,det,NA,pitcher,NA,that pitcher,NA,that,pitcher that
5,num,NA,trays,NA,six trays,NA,six,trays six
5,det,NA,darts,NA,these darts,NA,these,darts these
5,num,NA,keys,NA,ten keys,NA,ten,keys ten
5,num,NA,couches,NA,six couches,NA,six,couches six
5,num,NA,spatulas,NA,six spatulas,NA,six,spatulas six
5,det,NA,shovels,NA,those shovels,NA,those,shovels those
5,det,NA,bananas,NA,these bananas,NA,these,bananas these
5,det,NA,trays,NA,these trays,NA,these,trays these
5,num,NA,pillow,NA,one pillow,NA,one,pillow one
5,det,NA,pineapple,NA,that pineapple,NA,that,pineapple that
5,det,NA,leaves,NA,these leaves,NA,these,leaves these
5,num,NA,scarf,NA,one scarf,NA,one,scarf one
5,num,NA,shirts,NA,six shirts,NA,six,shirts six
5,num,NA,lamps,seven,seven lamps,False,NA,lamps seven
5,det,NA,tray,this,this tray,False,NA,tray this
5,num,NA,handbags,five,five handbags,False,NA,handbags five
5,det,NA,lamp,this,this lamp,False,NA,lamp this
5,num_det,those,cows,seven,those seven cows,False,NA,cows seven those
5,det,NA,bowl,this,this bowl,False,NA,bowl this
5,det,NA,car,this,this car,False,NA,car this
5,det,NA,vases,these,these vases,False,NA,vases these
5,num_det,these,vases,seven,these seven vases,False,NA,vases seven these
5,num_det,these,cars,three,these three cars,False,NA,cars three these
5,num_det,these,pigs,eight,these eight pigs,False,NA,pigs eight these
5,num,NA,ribbons,nine,nine ribbons,False,NA,ribbons nine
5,num_det,these,cherries,five,these five cherries,False,NA,cherries five these
5,num_det,those,ducks,two,those two ducks,False,NA,ducks two those
5,num_det,this,couch,one,this one couch,False,NA,couch one this
5,det,NA,darts,those,those darts,False,NA,darts those
5,num_det,those,pears,three,those three pears,False,NA,pears three those
5,num_det,those,trays,four,those four trays,False,NA,trays those four
5,det,NA,suitcases,those,those suitcases,False,NA,suitcases those
5,num,NA,bananas,ten,ten bananas,False,NA,bananas ten
5,num,NA,keys,seven,seven keys,False,NA,keys seven
5,num_det,these,pillows,ten,these ten pillows,False,NA,ten these pillows
5,num_det,these,shoes,eight,these eight shoes,False,NA,eight these shoes
5,num_det,those,horses,six,those six horses,False,NA,horses those six
5,num_det,those,suitcases,ten,those ten suitcases,False,NA,those ten suitcases
5,num_det,this,handbag,one,this one handbag,False,NA,handbag one this
5,num_det,these,bowls,five,these five bowls,False,NA,bowls five these
5,det,NA,pitchers,these,these pitchers,False,NA,pitchers these
5,num_det,those,pineapples,seven,those seven pineapples,False,NA,seven those pineapples
5,num_det,these,shirts,three,these three shirts,False,NA,shirts three these
5,num_det,those,darts,three,those three darts,False,NA,darts those three
5,num_det,these,pitchers,six,these six pitchers,False,NA,pitchers these six
5,num_det,those,ribbons,eight,those eight ribbons,False,NA,ribbons eight those
5,num_det,those,hats,four,those four hats,False,NA,those four hats
5,num_det,these,scarfs,four,these four scarfs,False,NA,four these scarfs
5,num_det,these,bananas,two,these two bananas,False,NA,bananas two these
5,num_det,this,spatula,one,this one spatula,False,NA,spatula this one
5,num_det,those,boxes,two,those two boxes,False,NA,boxes two those
5,num_det,these,chairs,three,these three chairs,False,NA,chairs three these
5,num,NA,trays,two,two trays,False,NA,trays two
